model_name,block_type
vgg19,AdaptiveAvgPool2d
vgg19,Linear
vgg19,Dropout
vgg19,ReLU
vgg19_bn,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
vgg19_bn,MaxPool2d
vgg19_bn,AdaptiveAvgPool2d
vgg19_bn,Linear
vgg19_bn,Dropout
vgg19_bn,ReLU
vit_b_16,"['Dropout', 'LayerNorm', 'NonDynamicallyQuantizableLinear', 'Dropout', 'LayerNorm']"
vit_b_16,Conv2d
vit_b_16,Linear
vit_b_16,Dropout
vit_b_16,GELU
vit_b_16,LayerNorm
vit_b_32,"['Dropout', 'LayerNorm', 'NonDynamicallyQuantizableLinear', 'Dropout', 'LayerNorm']"
vit_b_32,Conv2d
vit_b_32,Linear
vit_b_32,Dropout
vit_b_32,GELU
vit_b_32,LayerNorm
vit_h_14,"['Dropout', 'LayerNorm', 'NonDynamicallyQuantizableLinear', 'Dropout', 'LayerNorm']"
vit_h_14,Conv2d
vit_h_14,Linear
vit_h_14,Dropout
vit_h_14,GELU
vit_h_14,LayerNorm
vit_l_16,"['Dropout', 'LayerNorm', 'NonDynamicallyQuantizableLinear', 'Dropout', 'LayerNorm']"
vit_l_16,Conv2d
vit_l_16,Linear
vit_l_16,Dropout
vit_l_16,GELU
vit_l_16,LayerNorm
vit_l_32,"['Dropout', 'LayerNorm', 'NonDynamicallyQuantizableLinear', 'Dropout', 'LayerNorm']"
vit_l_32,Conv2d
vit_l_32,Linear
vit_l_32,Dropout
vit_l_32,GELU
vit_l_32,LayerNorm
wide_resnet101_2,"['Conv2d', 'BatchNorm2d', 'Conv2d', 'BatchNorm2d', 'Conv2d']"
wide_resnet101_2,MaxPool2d
wide_resnet101_2,Conv2d
wide_resnet101_2,AdaptiveAvgPool2d
wide_resnet101_2,Linear
wide_resnet101_2,BatchNorm2d
wide_resnet101_2,ReLU
wide_resnet50_2,"['Conv2d', 'BatchNorm2d', 'Conv2d', 'BatchNorm2d', 'Conv2d']"
wide_resnet50_2,MaxPool2d
wide_resnet50_2,Conv2d
wide_resnet50_2,AdaptiveAvgPool2d
wide_resnet50_2,Linear
wide_resnet50_2,BatchNorm2d
wide_resnet50_2,ReLU
